Image;P1;P2;P3;P4
1000;182,199;661,193;119,914;699,929
1001;83,77;545,90;72,824;576,788
1002;76,110;413,179;1,981;355,998
1003;177,92;596,92;159,943;594,932
1004;83,94;603,101;21,875;659,851
1005;193,213;539,208;126,916;565,923
1006;1,0;167,2;0,247;147,257
1007;38,18;715,16;5,989;740,994
1008;125,63;556,61;83,952;565,951
1009;82,1;276,3;54,346;295,346
1010;48,7;655,9;57,996;693,990
1011;155,61;596,57;28,965;666,987
1012;7,12;567,19;12,958;563,956
1013;7,59;733,39;9,989;737,989
1014;86,181;606,168;5,827;673,846
1015;90,10;637,16;34,940;695,940
1016;163,108;583,146;61,936;603,951
1017;128,23;644,21;76,994;715,996
1018;146,106;744,21;94,987;742,996
1019;92,1;284,2;58,345;303,346
1020;92,5;557,19;101,989;556,985
1021;271,103;783,103;114,739;907,735
1022;159,164;592,173;153,913;596,902
1023;164,10;561,16;135,974;641,954
1024;96,90;500,108;59,753;531,755
1025;90,5;638,7;50,989;667,990
1026;141,57;480,52;161,994;498,980
1027;114,1;603,3;65,989;574,994
1028;52,14;245,16;22,396;259,397
1029;117,112;563,128;30,976;706,960
1030;25,14;240,2;2,389;276,392
1031;153,47;586,56;144,981;597,978
1032;7,10;737,14;10,963;733,969
1033;132,61;635,34;7,891;697,951
1034;53,5;187,7;27,248;218,248
1035;56,103;513,119;3,989;558,987
1036;197,72;557,74;146,992;688,992
1037;148,19;652,38;108,992;635,996
1038;96,96;626,101;86,913;659,909
1039;141,192;588,177;126,777;626,775
1040;192,103;563,65;52,994;652,996
1041;53,2;186,2;26,246;217,247
1042;96,38;574,23;83,994;621,994
1043;119,45;543,3;67,989;659,983
1044;1,1;223,2;1,246;224,246
1045;23,2;239,3;11,370;262,365
1046;54,277;664,306;18,972;666,976
1047;119,27;596,28;101,846;639,811
1048;166,9;568,10;144,956;574,971
1049;175,179;615,181;193,992;655,969
1050;115,150;653,101;48,994;742,989
1051;97,50;653,54;65,909;681,907
1052;35,1;301,1;1,342;344,342
1053;35,6;222,3;22,388;242,393
1054;108,9;509,14;5,994;589,994
1055;164,170;659,177;112,992;681,992
1056;117,34;653,9;12,990;733,992
1057;70,126;583,114;83,992;681,985
1058;313,70;632,130;9,780;474,929
1059;50,7;708,45;41,898;643,938
1060;61,27;701,5;43,990;740,987
1061;87,54;455,39;61,994;538,992
1062;52,74;244,78;45,396;244,389
1063;28,0;188,2;19,248;201,247
1064;72,12;664,16;1,989;707,987
1065;134,38;615,21;99,990;643,990
1066;16,5;635,9;5,992;708,965
1067;27,7;694,5;1,990;726,992
1068;56,2;313,3;1,344;344,344
1069;202,206;527,195;206,929;592,931
1070;79,48;550,0;34,958;623,958
1071;34,32;460,21;48,731;520,721
1072;79,16;532,5;99,987;558,978
1073;69,8;263,11;72,390;260,397
1074;94,57;619,61;7,965;686,956
1075;210,90;601,77;97,947;685,956
1076;5,7;739,14;1,996;748,996
1077;123,9;669,5;21,994;761,992
1078;103,148;465,125;67,996;528,996
1079;70,5;559,3;23,934;586,931
1080;137,105;574,103;130,992;597,996
1081;45,213;476,211;32,778;498,769
1082;7,7;632,10;19,989;637,983
1083;184,5;588,7;18,992;596,996
1084;27,9;726,7;27,983;740,980
1085;7,5;627,9;5,996;627,998
1086;61,3;558,5;3,989;625,990
